,Organism Name,Clade Level 1,Clade Level 2,Clade Level 3,Clade Level 4,Clade Level 5,Clade Level 6,Clade Level 7,Clade Level 8
118,Oscillatoria nigro-viridis PCC 7112,Terrabacteria_group,Cyanophyceae,Oscillatoriophycideae,Oscillatoriales,,,,
119,Pleurocapsa sp. PCC 7327,Terrabacteria_group,Cyanophyceae,unclassified_Pleurocapsa,,,,,
120,Pleurocapsa sp. PCC 7319,Terrabacteria_group,Cyanophyceae,unclassified_Pleurocapsa,,,,,
121,Prochlorococcus marinus str. MIT 9313,Terrabacteria_group,Cyanophyceae,Synechococcales,,,,,
122,uncultured Prochloron sp. 06037A,Terrabacteria_group,Cyanophyceae,Synechococcales,Prochloron,environmental_samples,,,
123,uncultured Prochloron sp.,Terrabacteria_group,Cyanophyceae,Synechococcales,Prochloron,environmental_samples,,,
124,Prochloron didemni,Terrabacteria_group,Cyanophyceae,Synechococcales,Prochloron,,,,
125,Scytonema sp. UIC 10036,Terrabacteria_group,Cyanophyceae,Nostocales,,,,,
126,Sphaerospermopsis sp. LEGE 00249,Terrabacteria_group,Cyanophyceae,Nostocales,,,,,
127,Tolypothrix sp. PCC 7601,Terrabacteria_group,Cyanophyceae,Nostocales,,,,,
128,Nostoc spongiaeforme var. tenue str. Carmeli,Terrabacteria_group,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,,,
129,Nostoc sp. UHCC-0398,Terrabacteria_group,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,unclassified_Nostoc,,
130,Nostoc sp. TH1S01,Terrabacteria_group,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,unclassified_Nostoc,,
131,Nostoc punctiforme PCC 73102,Terrabacteria_group,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,,,
132,Anabaena sp. 90,Terrabacteria_group,Cyanophyceae,Nostocales,Nostocaceae,,,,
133,Desmonostoc sp. PCC 7906,Terrabacteria_group,Cyanophyceae,Nostocales,Nostocaceae,,,,
134,Listeria monocytogenes SLCC2540,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Listeria_monocytogenes,,,
135,Listeria monocytogenes serotype 4b str. F2365,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Listeria_monocytogenes,,,
136,Thermoactinomyces sp.,Terrabacteria_group,Bacillota,Bacilli,Bacillales,,,,
137,Paenibacillus dendritiformis C454,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Paenibacillus,,,
138,Paenibacillus terrae,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Paenibacillus,,,
139,Paenibacillus ehimensis,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Paenibacillus,,,
140,Paenibacillus thiaminolyticus,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Paenibacillus,,,
141,Paenibacillus polymyxa OSY-DF,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Paenibacillus,Paenibacillus_polymyxa,,
142,Paenibacillus polymyxa ATCC 842,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Paenibacillus,Paenibacillus_polymyxa,,
143,Paenibacillus polymyxa E681,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Paenibacillus,Paenibacillus_polymyxa,,
144,Halalkalibacterium halodurans C-125,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,,,
145,Geobacillus thermodenitrificans NG80-2,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,,,
146,Aeribacillus pallidus,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,,,
147,Priestia megaterium,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,,,
148,Weizmannia coagulans,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,,,
149,Bacillus nakamurai,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,,
150,Bacillus pumilus ATCC 7061,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,,
151,Bacillus sp. HIL-Y85/54728,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,,
152,Bacillus amyloliquefaciens UMAF6639,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_subtilis_group,Bacillus_amyloliquefaciens_group
153,Bacillus velezensis FZB42,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_subtilis_group,Bacillus_amyloliquefaciens_group
154,Bacillus subtilis subsp. spizizenii ATCC 6633 = JCM 2499,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_subtilis_group,
155,Bacillus subtilis subsp. subtilis str. 168,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_subtilis_group,
156,Bacillus licheniformis,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_subtilis_group,
157,Bacillus pseudomycoides DSM 12442,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_cereus_group,
158,Bacillus toyonensis,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_cereus_group,
159,Bacillus thuringiensis serovar huazhongensis BGSC 4BD1,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_cereus_group,Bacillus_thuringiensis
160,Bacillus thuringiensis serovar andalousiensis,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_cereus_group,Bacillus_thuringiensis
161,Bacillus thuringiensis serovar rongseni,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_cereus_group,Bacillus_thuringiensis
162,Bacillus mycoides,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_cereus_group,
163,Bacillus cereus BAG2O-1,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_cereus_group,Bacillus_cereus
164,Bacillus cereus SJ1,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_cereus_group,Bacillus_cereus
165,Bacillus cereus ATCC 14579,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_cereus_group,Bacillus_cereus
166,Macrococcus caseolyticus,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Staphylococcaceae,,,
167,Staphylococcus capitis,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,,
168,Staphylococcus gallinarum,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,,
169,Staphylococcus warneri,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,,
170,Staphylococcus hyicus,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,,
171,Staphylococcus epidermidis,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,,
172,Staphylococcus aureus,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,,
173,Carnobacterium maltaromaticum,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,,,,
174,Enterococcus faecium DO,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Enterococcus,,,
175,Enterococcus faecalis,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Enterococcus,,,
176,Lactococcus garvieae DCC43,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,
177,Lactococcus sp. QU 12,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,
178,Lactococcus cremoris,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,
179,Lactococcus lactis subsp. lactis,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,
180,Streptococcus macedonicus,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,
181,Streptococcus uberis,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,
182,Streptococcus ferus,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,
183,Streptococcus ratti,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,
184,Streptococcus equinus,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,
185,Streptococcus pyogenes M1 GAS,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,
186,Streptococcus mutans N66,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_mutans,
187,Streptococcus mutans UA159,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_mutans,
188,Streptococcus thermophilus LMD-9,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,
189,Streptococcus suis,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,
190,Streptococcus salivarius,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,
191,Ligilactobacillus salivarius,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,,,
192,Latilactobacillus sakei,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,,,
193,Lactiplantibacillus plantarum,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,,,
194,Lactobacillus paragasseri JV-V03,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,
195,Lactobacillus gasseri,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,
196,Lactobacillus acidophilus,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,
197,Leuconostoc mesenteroides,Terrabacteria_group,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,,,
198,Ruminococcus flavefaciens FD-1,Terrabacteria_group,Bacillota,Eubacteriales,Oscillospiraceae,,,,
199,Ruminiclostridium cellulolyticum H10,Terrabacteria_group,Bacillota,Eubacteriales,Oscillospiraceae,,,,
200,Clostridium sporogenes ATCC 15579,Terrabacteria_group,Bacillota,Eubacteriales,Clostridium,,,,
201,Clostridium botulinum A str. ATCC 3502,Terrabacteria_group,Bacillota,Eubacteriales,Clostridium,,,,
202,Clostridium estertheticum,Terrabacteria_group,Bacillota,Eubacteriales,Clostridium,,,,
203,Clostridium beijerinckii,Terrabacteria_group,Bacillota,Eubacteriales,Clostridium,,,,
204,[Ruminococcus] gnavus E1,Terrabacteria_group,Bacillota,Eubacteriales,Lachnospiraceae,,,,
205,Blautia obeum,Terrabacteria_group,Bacillota,Eubacteriales,Lachnospiraceae,,,,
206,Butyrivibrio fibrisolvens,Terrabacteria_group,Bacillota,Eubacteriales,Lachnospiraceae,,,,
207,Rubrivivax gelatinosus IL144,Pseudomonadota,Burkholderiales,,,,,,
208,Mycetohabitans rhizoxinica HKI 454,Pseudomonadota,Burkholderiales,Burkholderiaceae,,,,,
209,Burkholderia thailandensis E444,Pseudomonadota,Burkholderiales,Burkholderiaceae,Burkholderia,,,,
210,Burkholderia ubonensis,Pseudomonadota,Burkholderiales,Burkholderiaceae,Burkholderia,,,,
211,Acinetobacter gyllenbergii CIP 110306 = MTCC 11365,Pseudomonadota,Gammaproteobacteria,,,,,,
212,Halomonas anticariensis FP35 = DSM 16096,Pseudomonadota,Gammaproteobacteria,,,,,,
213,Grimontia marina,Pseudomonadota,Gammaproteobacteria,,,,,,
214,Pseudomonas syringae pv. maculicola str. ES4326,Pseudomonadota,Gammaproteobacteria,,,,,,
215,Lysobacter antibioticus,Pseudomonadota,Gammaproteobacteria,Xanthomonadaceae,,,,,
216,Xanthomonas hortorum ATCC 19865,Pseudomonadota,Gammaproteobacteria,Xanthomonadaceae,Xanthomonas,,,,
217,Xanthomonas oryzae pv. oryzae,Pseudomonadota,Gammaproteobacteria,Xanthomonadaceae,Xanthomonas,,,,
218,Thalassomonas actiniarum,Pseudomonadota,Gammaproteobacteria,Alteromonadales,,,,,
219,Pseudoalteromonas rubra,Pseudomonadota,Gammaproteobacteria,Alteromonadales,,,,,
220,Alteromonas sp. B-10-31,Pseudomonadota,Gammaproteobacteria,Alteromonadales,,,,,
221,Klebsiella pneumoniae RYC492,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella_pneumoniae,,,
222,Klebsiella pneumoniae subsp. ozaenae,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella_pneumoniae,,,
223,Escherichia coli chi7122,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia_coli,,,
224,Escherichia coli Nissle 1917,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia_coli,,,
225,Pantoea agglomerans,Pseudomonadota,Gammaproteobacteria,Enterobacterales,,,,,
226,Pseudophaeobacter arcticus DSM 23566,Pseudomonadota,Alphaproteobacteria,,,,,,
227,Asticcacaulis excentricus CB 48,Pseudomonadota,Alphaproteobacteria,Caulobacteraceae,,,,,
228,Caulobacter segnis ATCC 21756,Pseudomonadota,Alphaproteobacteria,Caulobacteraceae,Caulobacter,,,,
229,Caulobacter sp. K31,Pseudomonadota,Alphaproteobacteria,Caulobacteraceae,Caulobacter,,,,
230,Sphingobium indicum UT26S,Pseudomonadota,Alphaproteobacteria,Sphingomonadaceae,,,,,
231,Novosphingobium subterraneum,Pseudomonadota,Alphaproteobacteria,Sphingomonadaceae,,,,,
232,Methylosinus trichosporium OB3b,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylosinus,,,,
233,Methylosinus sp. LW3,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylosinus,,,,
234,Rhizobium sp. Pop5,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobium,,,,
235,Rhizobium leguminosarum,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobium,,,,
236,Pyxidicoccus fallax,Myxococcota,Myxococcaceae,,,,,,
237,Myxococcus xanthus DK 1622,Myxococcota,Myxococcaceae,,,,,,
238,Chondromyces crocatus,Myxococcota,,,,,,,
